Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

5.17751988	4.25196800	2.75590500
5.18975988	4.25196800	2.83464600
5.20199987	4.25196800	2.83464600
5.21423987	4.17322800	2.83464600
5.22647987	4.17322800	2.83464600
5.23871987	4.17322800	2.83464600
5.25095987	4.17322800	2.75590500
5.26319987	4.17322800	2.83464600
5.27543987	4.17322800	2.75590500
5.28767987	4.09448800	2.83464600
5.29991987	4.09448800	2.75590500
5.31215987	4.09448800	2.75590500
5.32439987	4.09448800	2.75590500
5.33663987	4.09448800	2.75590500
5.34887987	4.01574800	2.75590500
5.36111987	4.01574800	2.75590500
5.37335987	4.01574800	2.75590500
5.38559987	4.01574800	2.83464600
5.39783987	3.93700800	2.75590500
5.41007987	4.01574800	2.75590500
5.42231987	3.93700800	2.75590500
5.43455987	3.93700800	2.75590500
5.44679987	3.93700800	2.75590500
5.45903987	3.93700800	2.83464600
5.47127987	3.85826800	2.75590500
5.48351987	3.93700800	2.75590500
5.49575987	3.85826800	2.75590500
5.50799987	3.85826800	2.75590500
5.52023987	3.85826800	2.75590500
5.53247987	3.85826800	2.75590500
5.54471987	3.85826800	2.75590500
5.55695987	3.77952800	2.75590500
5.56919987	3.77952800	2.75590500
5.58143987	3.77952800	2.75590500
5.59367987	3.77952800	2.75590500
5.60591987	3.77952800	2.75590500
5.61815986	3.70078700	2.75590500
5.63039986	3.70078700	2.75590500
5.64263986	3.70078700	2.75590500
5.65487986	3.70078700	2.75590500
5.66711986	3.70078700	2.75590500
5.67935986	3.70078700	2.75590500
5.69159986	3.62204700	2.75590500
5.70383986	3.62204700	2.75590500
5.71607986	3.62204700	2.67716500
5.72831986	3.62204700	2.75590500
5.74055986	3.62204700	2.67716500
5.75279986	3.54330700	2.67716500
5.76503986	3.54330700	2.75590500
5.77727986	3.54330700	2.75590500
5.78951986	3.54330700	2.75590500
5.80175986	3.54330700	2.75590500
5.81399986	3.46456700	2.67716500
5.82623986	3.46456700	2.75590500
5.83847986	3.46456700	2.67716500
5.85071986	3.46456700	2.75590500
5.86295986	3.46456700	2.67716500
5.87519986	3.46456700	2.75590500
5.88743986	3.38582700	2.67716500
5.89967986	3.38582700	2.67716500
5.91191986	3.38582700	2.67716500
5.92415986	3.38582700	2.67716500
5.93639986	3.30708700	2.67716500
5.94863986	3.30708700	2.67716500
5.96087986	3.30708700	2.67716500
5.97311986	3.30708700	2.67716500
5.98535986	3.30708700	2.67716500
5.99759986	3.30708700	2.67716500
6.00983986	3.22834600	2.67716500
6.02207986	3.22834600	2.67716500
6.03431985	3.22834600	2.67716500
6.04655985	3.22834600	2.67716500
6.05879985	3.22834600	2.67716500
6.07103985	3.14960600	2.67716500
6.08327985	3.14960600	2.67716500
6.09551985	3.14960600	2.67716500
6.10775985	3.14960600	2.67716500
6.11999985	3.14960600	2.67716500
6.13223985	3.07086600	2.67716500
6.14447985	3.07086600	2.67716500
6.15671985	3.07086600	2.67716500
6.16895985	3.07086600	2.67716500
6.18119985	3.07086600	2.67716500
6.19343985	2.99212600	2.67716500
6.20567985	2.99212600	2.67716500
6.21791985	2.99212600	2.67716500
6.23015985	2.99212600	2.67716500
6.24239985	2.99212600	2.67716500
6.25463985	2.91338600	2.67716500
6.26687985	2.91338600	2.67716500
6.27911985	2.91338600	2.67716500
6.29135985	2.91338600	2.67716500
6.30359985	2.83464600	2.59842500
6.31583985	2.83464600	2.67716500
6.32807985	2.83464600	2.59842500
6.34031985	2.83464600	2.67716500
6.35255985	2.83464600	2.59842500
6.36479985	2.75590500	2.67716500
6.37703985	2.75590500	2.59842500
6.38927985	2.75590500	2.67716500
6.40151985	2.75590500	2.59842500
6.41375985	2.75590500	2.67716500
6.42599985	2.67716500	2.59842500
6.43823985	2.67716500	2.59842500
6.45047984	2.67716500	2.59842500
6.46271984	2.67716500	2.67716500
6.47495984	2.59842500	2.59842500
