Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

5.23871987	1.18110200	1.57480300
5.25095987	1.25984300	1.49606300
5.26319987	1.25984300	1.57480300
5.27543987	1.25984300	1.57480300
5.28767987	1.25984300	1.57480300
5.29991987	1.25984300	1.57480300
5.31215987	1.25984300	1.57480300
5.32439987	1.33858300	1.57480300
5.33663987	1.33858300	1.57480300
5.34887987	1.33858300	1.57480300
5.36111987	1.41732300	1.57480300
5.37335987	1.33858300	1.57480300
5.38559987	1.41732300	1.57480300
5.39783987	1.41732300	1.57480300
5.41007987	1.41732300	1.57480300
5.42231987	1.49606300	1.57480300
5.43455987	1.49606300	1.57480300
5.44679987	1.49606300	1.57480300
5.45903987	1.49606300	1.57480300
5.47127987	1.49606300	1.57480300
5.48351987	1.57480300	1.57480300
5.49575987	1.57480300	1.57480300
5.50799987	1.57480300	1.57480300
5.52023987	1.57480300	1.57480300
5.53247987	1.57480300	1.57480300
5.54471987	1.65354300	1.57480300
5.55695987	1.65354300	1.57480300
5.56919987	1.65354300	1.57480300
5.58143987	1.65354300	1.57480300
5.59367987	1.73228300	1.57480300
5.60591987	1.73228300	1.57480300
5.61815986	1.73228300	1.57480300
5.63039986	1.73228300	1.57480300
5.64263986	1.73228300	1.57480300
5.65487986	1.81102400	1.57480300
5.66711986	1.81102400	1.57480300
5.67935986	1.81102400	1.65354300
5.69159986	1.81102400	1.57480300
5.70383986	1.88976400	1.65354300
5.71607986	1.88976400	1.65354300
5.72831986	1.88976400	1.65354300
5.74055986	1.88976400	1.65354300
5.75279986	1.96850400	1.65354300
5.76503986	1.96850400	1.65354300
5.77727986	1.96850400	1.65354300
5.78951986	1.96850400	1.65354300
5.80175986	1.96850400	1.65354300
5.81399986	2.04724400	1.65354300
5.82623986	2.04724400	1.65354300
5.83847986	2.04724400	1.65354300
5.85071986	2.04724400	1.65354300
5.86295986	2.12598400	1.65354300
5.87519986	2.12598400	1.65354300
5.88743986	2.12598400	1.65354300
5.89967986	2.12598400	1.65354300
5.91191986	2.12598400	1.65354300
5.92415986	2.12598400	1.65354300
5.93639986	2.20472400	1.65354300
5.94863986	2.20472400	1.65354300
